id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
1,Male,Loyal Customer,72,Business travel,Business,1784,1,1,4,1,3,5,5,2,2,3,2,5,2,0,0,0,1
2,Male,Loyal Customer,35,Business travel,Business,2228,2,5,5,5,1,1,2,2,2,2,2,4,2,0,0,8,0
3,Male,disloyal Customer,37,Business travel,Eco,1970,4,3,4,1,1,4,1,1,3,2,5,1,4,0,1,2,1
4,Female,Loyal Customer,20,Personal Travel,Eco,2249,5,5,1,3,1,1,1,1,4,1,4,1,5,0,0,0,1
5,Male,disloyal Customer,38,Business travel,Eco,1995,2,2,2,2,5,2,5,5,2,5,3,1,2,0,110,102,0
6,Male,Loyal Customer,18,Personal Travel,Eco,2195,3,5,3,3,5,3,5,5,5,2,4,3,5,0,0,0,0
7,Female,Loyal Customer,51,Personal Travel,Eco,886,5,1,5,4,5,3,3,3,3,5,1,2,3,0,0,2,1
8,Male,disloyal Customer,22,Business travel,Eco,1971,3,3,3,3,5,3,5,5,1,5,2,2,4,0,35,17,0
9,Female,Loyal Customer,35,Personal Travel,Eco,1185,5,5,1,5,3,3,3,3,4,4,3,1,2,0,0,0,1
10,Female,Loyal Customer,52,Business travel,Business,342,4,3,5,5,5,4,3,4,4,4,4,4,4,0,19,9,0
11,Female,Loyal Customer,8,Business travel,Business,3464,5,5,5,5,4,4,4,4,5,4,5,3,4,0,0,0,1
12,Male,Loyal Customer,44,Business travel,Business,2476,4,4,4,4,4,5,4,3,3,3,3,5,3,0,6,0,1
13,Female,Loyal Customer,27,Business travel,Business,2037,2,2,2,2,5,5,5,5,3,1,2,4,1,0,0,0,1
14,Female,Loyal Customer,36,Business travel,Eco,1847,4,1,1,1,4,4,4,4,2,5,4,1,1,4,0,0,1
15,Male,disloyal Customer,19,Business travel,Eco,2415,1,1,1,4,1,1,4,1,1,3,3,4,3,1,0,0,0
16,Female,Loyal Customer,48,Personal Travel,Eco,2177,5,3,2,2,5,5,4,5,1,5,4,5,5,5,0,0,1
17,Female,Loyal Customer,58,Business travel,Eco,707,2,1,1,1,4,3,3,3,3,2,3,2,3,1,77,60,0
18,Male,Loyal Customer,28,Business travel,Business,3276,2,3,3,3,2,2,2,2,2,1,3,4,3,2,0,0,0
19,Female,Loyal Customer,48,Business travel,Business,2150,4,4,4,4,2,4,4,4,4,4,4,5,4,5,0,0,1
20,Female,Loyal Customer,26,Business travel,Eco,2057,4,3,3,3,4,4,5,4,4,3,3,4,2,4,0,0,1
21,Female,Loyal Customer,69,Personal Travel,Business,396,2,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0,1
22,Male,Loyal Customer,49,Personal Travel,Eco,3844,3,4,3,4,3,3,2,4,3,3,4,2,3,2,110,116,0
23,Male,Loyal Customer,54,Business travel,Business,480,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,8,1
24,Female,disloyal Customer,24,Business travel,Business,2588,4,0,4,4,2,4,2,2,3,5,4,3,4,2,0,0,1
25,Male,Loyal Customer,47,Business travel,Eco Plus,1750,4,5,4,5,4,4,4,4,4,4,5,5,1,4,0,0,1
26,Female,Loyal Customer,10,Personal Travel,Eco,1601,5,0,5,2,4,5,4,4,4,5,5,5,4,4,0,0,1
27,Male,Loyal Customer,35,Business travel,Eco,2317,4,4,4,4,4,4,4,4,3,5,1,3,5,4,0,0,1
28,Female,disloyal Customer,36,Business travel,Eco,1692,3,2,3,3,4,3,4,4,1,4,4,3,3,4,5,0,0
29,Female,Loyal Customer,11,Personal Travel,Eco,2861,5,5,5,2,4,5,4,4,3,5,1,1,5,4,0,0,1
30,Male,Loyal Customer,56,Business travel,Business,3924,5,5,5,5,5,4,5,4,4,4,4,5,4,4,43,19,1
31,Male,Loyal Customer,58,Business travel,Eco,1436,2,1,3,3,2,2,2,2,4,2,3,1,4,2,0,0,0
32,Male,Loyal Customer,25,Business travel,Eco Plus,2018,5,2,2,2,5,4,5,5,3,2,2,5,4,5,0,0,1
33,Male,Loyal Customer,66,Personal Travel,Eco,3540,3,3,2,3,3,2,3,3,3,5,3,1,3,3,0,0,0
34,Male,Loyal Customer,22,Business travel,Business,1484,5,2,5,5,5,5,5,5,4,4,2,2,1,5,0,0,1
35,Female,disloyal Customer,50,Business travel,Business,2571,4,4,4,5,1,4,1,1,4,4,4,4,4,1,0,0,1
36,Female,Loyal Customer,54,Business travel,Business,3684,2,4,4,4,2,4,3,1,1,1,2,3,1,2,6,0,0
37,Female,disloyal Customer,26,Business travel,Eco,1165,5,4,4,2,2,4,2,2,2,1,2,4,5,2,0,0,1
38,Male,Loyal Customer,63,Business travel,Eco,1082,3,3,2,3,3,3,3,3,1,2,1,3,2,3,0,4,1
39,Male,Loyal Customer,42,Business travel,Business,3835,2,2,2,2,3,4,4,2,2,2,2,2,2,3,20,17,0
40,Male,Loyal Customer,39,Business travel,Eco,1906,4,2,2,2,4,4,4,4,2,4,4,4,4,4,9,2,0
41,Male,Loyal Customer,9,Personal Travel,Eco,2903,2,5,2,3,2,1,2,5,3,5,5,2,3,2,181,170,0
